codepoint	char	existing value	new value
U+4E3D	丽	7	8
U+4E4B	之	3	4
U+4E4F	乏	4	5
U+4E9F	亟	8	9
U+4EB9	亹	22	21
U+4EE5	以	4	5
U+4F0B	伋	5	6
U+4FEE	修	9	10
U+5010	倐	10	11
U+51A2	冢	10	9
U+521D	初	7	8
U+52B3	劳	7	8
U+52D9	務	10	11
U+52F5	勵	16	17
U+52F8	勸	19	20
U+533F	匿	10	11
U+5368	卨	10	11
U+5370	印	5	6
U+53B2	厲	14	15
U+53CA	及	3	4
U+53DF	叟	9	10
U+5415	吕	6	7
U+54BC	咼	8	9
U+55E2	嗢	12	13
U+56B4	嚴	19	20
U+5815	堕	11	12
U+584A	塊	12	13
U+5893	墓	13	14
U+58F3	壳	7	8
U+5922	夢	13	14
U+5962	奢	11	12
U+5B7D	孽	19	20
U+5BAB	宫	9	10
U+5BBD	宽	10	11
U+5BEC	寬	14	15
U+5C60	屠	11	12
U+5D6C	嵬	12	13
U+5DB4	嶴	15	16
U+5DD6	巖	22	23
U+5DE8	巨	4	5
U+5DEE	差	9	10
U+5E2E	帮	9	10
U+5EAD	庭	9	10
U+5EBE	庾	11	12
U+5ECA	廊	11	12
U+5ECB	廋	12	13
U+5ED3	廓	13	14
U+5EE3	廣	14	15
U+5EF4	廴	2	3
U+5EF5	廵	5	6
U+5EF6	延	6	8
U+5EF7	廷	6	7
U+5EFA	建	8	9
U+5EFB	廻	8	9
U+5EFD	廽	9	10
U+60F9	惹	12	13
U+615D	慝	14	15
U+6210	成	6	7
U+6220	戠	12	13
U+6222	戢	12	13
U+6478	摸	13	14
U+64E7	擧	17	18
U+6556	敖	10	11
U+6562	敢	11	12
U+656C	敬	12	13
U+661A	昚	9	5
U+665F	晟	10	11
U+6691	暑	12	13
U+66AE	暮	14	15
U+66AF	暯	14	15
U+66B9	暹	15	16
U+6717	朗	10	11
U+6729	朩	4	7
U+6761	条	7	10
U+6883	梃	10	11
U+689D	條	10	11
U+69E9	槩	13	15
U+6A21	模	14	15
U+6B61	歡	21	22
U+6E1A	渚	11	12
U+6E20	渠	11	12
U+6EE1	满	13	14
U+704C	灌	20	21
U+716E	煮	12	13
U+71DF	營	16	17
U+723A	爺	12	13
U+732A	猪	11	12
U+732B	猫	11	12
U+7352	獒	14	15
U+7372	獲	16	17
U+7372	獲	16	17
U+74CA	瓊	18	19
